lemma,definition,type,llm_templates
baashkikaa,"s/he bursts, ruptures",vai,"{'verbs': ['burst', 'rupture'], 'templates': ['{{subject}} burst', '{{subject}} rupture']}"
ombweyaashi,s/he or it (animate) is blown up and around,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be blown up and around']}"
debinaagozi,"s/he is visible at a distance, comes into view",vai,"{'verbs': ['be', 'come'], 'templates': ['{{subject}} be visible at a distance', '{{subject}} come into view']}"
bishigozhaazo,s/he pees and misses,vai,"{'verbs': ['pee', 'miss'], 'templates': ['{{subject}} pee and miss']}"
agawaatese,s/he casts a shadow flying,vai,"{'verbs': ['cast'], 'templates': ['{{subject}} cast a shadow flying']}"
biiwaabikowi,"s/he is metal, of metal",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be metal', '{{subject}} be of metal']}"
biindaagibagizo,s/he does a hoop dance,vai,"{'verbs': ['do'], 'templates': ['{{subject}} do a hoop dance']}"
gaagiijidiye,s/he has a sore rear,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a sore rear']}"
bagone'igaazo,"it (animate) has a hole drilled in it, ""they"" drill a hole in it  (animate)",vai,"{'verbs': ['have', 'drill'], 'templates': ['{{subject}} have a hole drilled in it', '(someone) drill a hole in {{object-intransitive}}']}"
maazhichige,"s/he does something wrong, does something bad",vai,"{'verbs': ['do'], 'templates': ['{{subject}} do something wrong', '{{subject}} do something bad']}"
gaagiijidooskwan,s/he has a sore elbow,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a sore elbow']}"
bakegwaashkwani,"s/he jumps off to the side, off the main path",vai,"{'verbs': ['jump'], 'templates': ['{{subject}} jump off to the side, off the main path']}"
dabasendaagozi,s/he is held in low regard,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be held in low regard']}"
dadaataba'amaazo,s/he sings quickly,vai,"{'verbs': ['sing'], 'templates': ['{{subject}} sing quickly']}"
dewinike,s/he has an ache in h/ arm,vai,"{'verbs': ['have'], 'templates': [""{{subject}} have an ache in one's arm""]}"
aanizhiitam,"s/he quits, gives up, stops doing something",vai2,"{'verbs': ['quit', 'give', 'stop'], 'templates': ['{{subject}} quit doing something', '{{subject}} give up doing something', '{{subject}} stop doing something']}"
ozhiiginige,"s/he folds, prepares, sets something (sheet-like); s/he rolls a cigarette",vai,"{'verbs': ['fold', 'prepare', 'set', 'roll'], 'templates': ['{{subject}} fold something (sheet-like)', '{{subject}} prepare something (sheet-like)', '{{subject}} set something (sheet-like)', '{{subject}} roll a cigarette']}"
inaatenige,"s/he shines a light in a certain direction, casts a light in a certain firection",vai,"{'verbs': ['shine', 'cast'], 'templates': ['{{subject}} shine a light in a certain direction', '{{subject}} cast a light in a certain direction']}"
maamakaadiziikaazo,"s/he is a show-off, acts up",vai,"{'verbs': ['be', 'act'], 'templates': ['{{subject}} be a show-off', '{{subject}} act up']}"
zaageweyaajimo,s/he hints at something,vai,"{'verbs': ['hint'], 'templates': ['{{subject}} hint at something']}"
inigokobagizi,it (animate) has leaves of such a size,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have leaves of such a size']}"
akongwashi,"s/he falls asleep sitting with h/ head dropping down, nods off",vai,"{'verbs': ['fall', 'nod'], 'templates': [""{{subject}} fall asleep sitting with one's head dropping down"", '{{subject}} nod off']}"
mookwaabaagwe,s/he cries from thirst,vai,"{'verbs': ['cry'], 'templates': ['{{subject}} cry from thirst']}"
dakwegambizo,she wears a short skirt,vai,"{'verbs': ['wear'], 'templates': ['{{subject}} wear a short skirt']}"
ondamoonzhe,"s/he is occupied with, busy with children",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be occupied with children', '{{subject}} be busy with children']}"
miskwaasige,it (animate; sun or moon) shines red,vai,"{'verbs': ['shine'], 'templates': ['{{subject}} shine red']}"
zhaaboganaanjige,s/he punches through something,vai,"{'verbs': ['punch'], 'templates': ['{{subject}} punch through something']}"
okwaakosijige,s/he stacks something (stick-like),vai,"{'verbs': ['stack'], 'templates': ['{{subject}} stack something (stick-like)']}"
anaamendam,"s/he is suspicious, suspects, has suspicion",vai2,"{'verbs': ['be', 'suspect', 'have'], 'templates': ['{{subject}} be suspicious', '{{subject}} suspect', '{{subject}} have suspicion']}"
nanaabagizide,s/he has flat feet,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have flat feet']}"
doodaadizo,s/he does something to h/ self,vai,"{'verbs': ['do'], 'templates': ['{{subject}} do something to oneself']}"
baapaashkwewebizonike,s/he drives and h/ car backfires,vai,"{'verbs': ['drive', 'backfire'], 'templates': ['{{subject}} drive and {{object-intransitive}} backfire']}"
bichibizo,s/he is accidentally run over,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be accidentally run over']}"
gikinjigwenidiwag,"they hug, embrace",vai,"{'verbs': ['hug', 'embrace'], 'templates': ['{{subject}} hug', '{{subject}} embrace']}"
onjidaabii,"s/he drags, pulls a load from a certain place, pulls a sled from a certain place",vai,"{'verbs': ['drag', 'pull'], 'templates': ['{{subject}} drag a load from a certain place', '{{subject}} pull a load from a certain place', '{{subject}} pull a sled from a certain place']}"
giizhadowe,s/he has prime fur (at end of the season),vai,"{'verbs': ['have'], 'templates': ['{{subject}} have prime fur (at end of the season)']}"
madaabiishkosiwe,s/he goes out into a meadow,vai,"{'verbs': ['go'], 'templates': ['{{subject}} go out into a meadow']}"
ishpaandawebizo,"s/he climbs up under power, goes up in an elevator",vai,"{'verbs': ['climb', 'go'], 'templates': ['{{subject}} climb up under power', '{{subject}} go up in an elevator']}"
onzaamaapi,s/he laughs hard,vai,"{'verbs': ['laugh'], 'templates': ['{{subject}} laugh hard']}"
akwaabi,s/he sees a certain distance,vai,"{'verbs': ['see'], 'templates': ['{{subject}} see a certain distance']}"
gikinoo'amaadiwag,they teach each other,vai,"{'verbs': ['teach'], 'templates': ['{{subject}} teach each other']}"
zhaabonaagozi,"s/he or it (animate) is transparent, can be seen through",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be transparent', '{{subject}} can be seen through']}"
niimi'iwe,s/he gives a dance,vai,"{'verbs': ['give'], 'templates': ['{{subject}} give a dance']}"
mashkawaakozi,"s/he is dense (o.s.); s/he is hard (o.s.); s/he (stick-like) is strong, is hard, is dense",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be dense (o.s.)', '{{subject}} be hard (o.s.)', '{{subject}} be strong', '{{subject}} be hard', '{{subject}} be dense']}"
anima'adoo,s/he follows a trail away,vai,"{'verbs': ['follow'], 'templates': ['{{subject}} follow a trail away']}"
ozhaashisagishin,s/he slips and falls on the floor,vai,"{'verbs': ['slip', 'fall'], 'templates': ['{{subject}} slip and fall on the floor']}"
makadewitawage,s/he has a black ear or black ears,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a black ear or black ears']}"
gibaabinidizo,s/he covers h/ own eyes (with the hand),vai,"{'verbs': ['cover'], 'templates': [""{{subject}} cover one's own eyes (with the hand)""]}"
anzikwe'o,s/he combs h/ hair,vai,"{'verbs': ['comb'], 'templates': [""{{subject}} comb one's hair""]}"
mijidwe,"s/he orders, sends for something through a third party",vai,"{'verbs': ['order', 'send'], 'templates': ['{{subject}} order something through a third party', '{{subject}} send for something through a third party']}"
bibagizi,it (animate) is thin,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be thin']}"
wayezhindizo,"s/he deceives, cheats h/ self (by speech)",vai,"{'verbs': ['deceive', 'cheat'], 'templates': ['{{subject}} deceive oneself (by speech)', '{{subject}} cheat oneself (by speech)']}"
mangininjii,s/he has a big hand or big hands,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a big hand or big hands']}"
gizhiise,s/he flies fast,vai,"{'verbs': ['fly'], 'templates': ['{{subject}} fly fast']}"
minomanji'o,"s/he feels good,  is in good health",vai,"{'verbs': ['feel', 'be'], 'templates': ['{{subject}} feel good', '{{subject}} be in good health']}"
waabiiganaandam,s/he is pale from being hungry,vai2,"{'verbs': ['be'], 'templates': ['{{subject}} be pale from being hungry']}"
gashkigwaazo,s/he is sewn,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be sewn']}"
gibitaneshin,s/he falls and gets  a nosebleed,vai,"{'verbs': ['fall', 'get'], 'templates': ['{{subject}} fall and get a nosebleed']}"
obaabaayi,s/he has a father,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a father']}"
onji'aawaso,s/he tells a child or children not to do something,vai,"{'verbs': ['tell'], 'templates': ['{{subject}} tell a child or children not to do something']}"
maanose,s/he walks with discomfort,vai,"{'verbs': ['walk'], 'templates': ['{{subject}} walk with discomfort']}"
zhaagomaagozi,it (animate) smells mild,vai,"{'verbs': ['smell'], 'templates': ['{{subject}} smell mild']}"
zaageweyoode,s/he crawls into view as from around a corner,vai,"{'verbs': ['crawl'], 'templates': ['{{subject}} crawl into view as from around a corner']}"
maadizekwe,s/he starts cooking,vai,"{'verbs': ['start'], 'templates': ['{{subject}} start cooking']}"
mashkawimaaso,"s/he has a strong aroma, smells strong burning or cooking",vai,"{'verbs': ['have', 'smell'], 'templates': ['{{subject}} have a strong aroma', '{{subject}} smell strong burning or cooking']}"
animaagime,s/he snowshoes away (in the other direction),vai,"{'verbs': ['snowshoe'], 'templates': ['{{subject}} snowshoe away (in the other direction)']}"
wanimo,"s/he makes a mistake in speaking, mispronounces something",vai,"{'verbs': ['make', 'mispronounce'], 'templates': ['{{subject}} make a mistake in speaking', '{{subject}} mispronounce something']}"
nisidiwag,they kill each other,vai,"{'verbs': ['kill'], 'templates': ['{{subject}} kill each other']}"
maazhigiizhwe,s/he has abnormal speech; s/he has difficulty speaking,vai,"{'verbs': ['have', 'have'], 'templates': ['{{subject}} have abnormal speech', '{{subject}} have difficulty speaking']}"
inadowe,s/he has such fur,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have such fur']}"
baabiiwaashi,s/he is scattered here and there by wind,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be scattered here and there by wind']}"
gwekiwebiniganike,s/he makes pancakes,vai,"{'verbs': ['make'], 'templates': ['{{subject}} make pancakes']}"
mizizi,s/he catches a disease; s/he starts to get sick,vai,"{'verbs': ['catch', 'get'], 'templates': ['{{subject}} catch a disease', '{{subject}} get sick']}"
bakobiikawe,s/he leaves tracks going into water,vai,"{'verbs': ['leave'], 'templates': ['{{subject}} leave tracks going into water']}"
maajinizhimo,"s/he starts off fleeing, starts off running away",vai,"{'verbs': ['start'], 'templates': ['{{subject}} start off fleeing', '{{subject}} start off running away']}"
giiwashkwebani'o,s/he makes h/ self dizzy spinning around,vai,"{'verbs': ['make'], 'templates': ['{{subject}} make oneself dizzy spinning around']}"
niimimiijime,s/he takes along food,vai,"{'verbs': ['take'], 'templates': ['{{subject}} take along food']}"
gizhiibinagaakizide,h/ sole itches,vai,"{'verbs': ['itch'], 'templates': ['{{subject}} itch']}"
niiskizi,"s/he is messy, is burdened with too much stuff",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be messy', '{{subject}} be burdened with too much stuff']}"
agaasiigizi,it (animate; sheet-like) is small,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be small']}"
zagakinige,s/he puts things away; s/he tidies things,vai,"{'verbs': ['put', 'tidy'], 'templates': ['{{subject}} put things away', '{{subject}} tidy things']}"
ombaakwa'ige,"s/he raises things (as or as with something stick- or wood-like), jacks things up",vai,"{'verbs': ['raise', 'jack'], 'templates': ['{{subject}} raise things (as or as with something stick- or wood-like)', '{{subject}} jack things up']}"
bitaakondibeshin,s/he bumps h/ head,vai,"{'verbs': ['bump'], 'templates': [""{{subject}} bump one's head""]}"
zegingwashi,s/he has a nightmare,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a nightmare']}"
aabidwewidam,"s/he sounds, calls, vocalizes continually",vai2,"{'verbs': ['sound', 'call', 'vocalize'], 'templates': ['{{subject}} sound continually', '{{subject}} call continually', '{{subject}} vocalize continually']}"
bishagaakwa'ige,s/he peels timber (using something),vai,"{'verbs': ['peel'], 'templates': ['{{subject}} peel timber (using something)']}"
miskosagizi,"s/he (something board-like, floor) is red",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be red']}"
gibishin,"s/he lies in the way, blocks the way",vai,"{'verbs': ['lie', 'block'], 'templates': ['{{subject}} lie in the way', '{{subject}} block the way']}"
izhaa,s/he goes to a certain place,vai,"{'verbs': ['go'], 'templates': ['{{subject}} go to a certain place']}"
bazagoshin,it (animate) turns sticky,vai,"{'verbs': ['turn'], 'templates': ['{{subject}} turn sticky']}"
omoonzomi,s/he has a moose or moose,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a moose or moose']}"
bishagishkaa,"s/he peels, peels off",vai,"{'verbs': ['peel'], 'templates': ['{{subject}} peel', '{{subject}} peel off']}"
gitigaazo,h/ is planted,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be planted']}"
